bea betaalpas bakkerij cor muhl pas273 nr 3z27tx 26 05 25 09 03 weesp	bakery	groceries
bea betaalpas bakkerij cor muhl pas273 nr 3z27tx 31 07 25 10 31 weesp	bakery	groceries
bea betaalpas bck apotheek ballintij pas273 nr ct335943 08 07 25 15 01 weesp	health	health_and_beauty
bea betaalpas bck spar ouddorpduin pas273 nr bs172820 15 07 25 11 21 ouddorp	holiday	travel
bea betaalpas bck spar ouddorpduin pas273 nr bs172820 17 07 25 10 32 ouddorp	holiday	travel
bea betaalpas c&b drogist weesp pas273 nr s70clq 25 08 25 13 04 weesp	home	home_and_energy
bea betaalpas c&m van winsen groente pas273 nr ct800203 02 09 25 10 31 nijkerk	supermarket	groceries
bea betaalpas ccv barbier rogier wee pas273 nr ct826412 03 05 25 09 20 weesp	hairdresser	health_and_beauty
bea betaalpas ccv lakoi pas273 nr ct690744 19 08 25 11 01 weesp	child	family
bea betaalpas ccv nelis ijssalon bv pas273 nr ct067615 10 05 25 19 09 weesp	restaurants	food_and_drink
bea betaalpas ccv nelis ijssalon bv pas273 nr ct067615 21 08 25 14 58 weesp	restaurants	food_and_drink
bea betaalpas ccv peter van wijnen d pas273 nr ct924210 03 06 25 09 25 wyk en aalbur	home	home_and_energy
bea betaalpas ccv peter van wijnen d pas273 nr ct924210 22 07 25 10 50 wyk en aalbur	home	home_and_energy
bea betaalpas ccv petit clos pas273 nr ct861071 11 07 25 10 45 weesp	wine	food_and_drink
bea betaalpas ccv petit clos pas273 nr ct861071 25 07 25 13 46 weesp	wine	food_and_drink
bea betaalpas ccv st korenmolen de pas273 nr ct393506 26 07 25 15 09 weesp	supermarket	groceries
bea betaalpas ccv st korenmolen de pas273 nr ct393506 30 08 25 12 46 weesp	supermarket	groceries
bea betaalpas ccv st korenmolen de pas273 nr ct393506 31 05 25 11 39 weesp	supermarket	groceries
bea betaalpas ccv vishandel eddy pas273 nr al055121 16 07 25 16 14 ouddorp zh	holiday	travel
bea betaalpas johan bulten pas273 nr nv627f 06 05 25 14 06 weesp	supermarket	groceries
bea betaalpas karwei weesp pas273 nr fr4501 10 05 25 13 55 weesp terugboeking bea transactie	home	home_and_energy
bea betaalpas karwei weesp pas273 nr fr4501 25 11 25 16 55 weesp terugboeking bea transactie	home	home_and_energy
bea betaalpas karwei weesp pas273 nr fr4502 05 05 25 10 14 weesp	home	home_and_energy
bea betaalpas karwei weesp pas273 nr fr4502 10 05 25 14 18 weesp	home	home_and_energy
bea betaalpas karwei weesp pas273 nr fr4502 16 05 25 18 00 weesp	home	home_and_energy
bea betaalpas karwei weesp pas273 nr fr4502 22 05 25 11 19 weesp	home	home_and_energy
bea betaalpas kruidvat 2453 pas273 nr 21gv03 03 06 25 09 17 weesp	kruidvat	shopping
bea betaalpas kruidvat 2453 pas273 nr 21gv03 04 07 25 11 52 weesp	kruidvat	shopping
bea betaalpas kruidvat 2453 pas273 nr 21gv03 10 07 25 10 43 weesp	kruidvat	shopping
bea betaalpas kruidvat 2453 pas273 nr 21gv03 21 07 25 11 17 weesp	kruidvat	shopping
bea betaalpas kruidvat 2453 pas273 nr 21gv03 22 07 25 10 44 weesp	kruidvat	shopping
bea betaalpas kruidvat 2453 pas273 nr 21gv03 28 07 25 14 35 weesp	kruidvat	shopping
bea betaalpas kruidvat 2453 pas273 nr 7b9zx7 03 05 25 09 31 weesp	kruidvat	shopping
bea betaalpas kruidvat 2453 pas273 nr 7b9zx7 20 05 25 15 28 weesp	kruidvat	shopping
bea betaalpas kruidvat 2453 pas273 nr 7b9zx7 27 05 25 14 38 weesp	kruidvat	shopping
bea betaalpas kwekerij vechtwijck pas273 nr 51487259 10 05 25 16 23 weesp	home	home_and_energy
bea betaalpas lagard re fil 541 pas273 nr 69701469 18 08 25 11 31 hannover land deu	travel	travel
bea betaalpas mh baeckerei meyer gmb pas273 nr 79966709 18 08 25 11 26 hannover land deu	travel	travel
bea betaalpas mh baeckerei meyer gmb pas273 nr 79966709 18 08 25 11 28 hannover land deu	travel	travel
bea betaalpas p bond en zonen pas273 nr 092799eq 01 07 25 11 01 volendam	supermarket	groceries
bea betaalpas p bond en zonen pas273 nr 092799eq 02 09 25 10 33 volendam	supermarket	groceries
bea betaalpas p bond en zonen pas273 nr 092799eq 02 09 25 10 35 volendam	supermarket	groceries
bea betaalpas p bond en zonen pas273 nr 092799eq 26 08 25 12 25 volendam	supermarket	groceries
bea betaalpas p bond en zonen pas273 nr 092801eq 03 06 25 09 08 volendam	supermarket	groceries
bea betaalpas p bond en zonen pas273 nr 092803eq 05 08 25 11 02 volendam	supermarket	groceries
bea betaalpas p bond en zonen pas273 nr 092803eq 08 07 25 11 30 volendam	supermarket	groceries
bea betaalpas p bond en zonen pas273 nr 092803eq 13 05 25 08 41 volendam	supermarket	groceries
bea betaalpas p bond en zonen pas273 nr 092803eq 19 08 25 11 25 volendam	supermarket	groceries
bea betaalpas pronk kaas pas273 nr 69k7fp 04 07 25 11 45 weesp	cheese	groceries
bea betaalpas pronk kaas pas273 nr 69k7fp 06 05 25 13 59 weesp	cheese	groceries
bea betaalpas pronk kaas pas273 nr 69k7fp 23 05 25 10 36 weesp	cheese	groceries
bea betaalpas pronk kaas pas273 nr 69k7fp 27 05 25 14 32 weesp	cheese	groceries
bea betaalpas pronk kaas pas273 nr v3l8cm 04 09 25 10 46 weesp	cheese	groceries
bea betaalpas pronk kaas pas273 nr v3l8cm 22 07 25 10 25 weesp	cheese	groceries
bea betaalpas pronk kaas pas273 nr v3l8cm 26 08 25 11 25 weesp	cheese	groceries
bea betaalpas rataplan weesp pas273 nr 458wj9 04 09 25 11 27 weesp	second_hand	shopping
bea betaalpas rataplan weesp pas273 nr 458wj9 09 05 25 16 11 weesp	second_hand	shopping
bea betaalpas rataplan weesp pas273 nr 458wj9 25 08 25 15 56 weesp	second_hand	shopping
bea betaalpas rataplan weesp pas273 nr 458wj9 26 05 25 09 40 weesp	second_hand	shopping
bea betaalpas rossmann 3615 pas273 nr 60740830 13 08 25 12 55 bad pyrmont land deu	supermarket	groceries
bea betaalpas slagerij van donk pas273 nr 0s6c01 07 05 25 15 09 weesp	butcher	groceries
bea betaalpas slagerij van donk pas273 nr 0s6c01 20 05 25 15 36 weesp	butcher	groceries
bea betaalpas slagerij van donk pas273 nr 0s6c01 22 07 25 10 18 weesp	butcher	groceries
bea betaalpas slagerij van donk pas273 nr 0s6c01 30 07 25 11 24 weesp	butcher	groceries
bea betaalpas slagerij van donk pas273 nr x28glk 01 07 25 11 10 weesp	butcher	groceries
bea betaalpas slagerij van donk pas273 nr x28glk 04 07 25 12 01 weesp	butcher	groceries
bea betaalpas slagerij van donk pas273 nr x28glk 10 07 25 10 32 weesp	butcher	groceries
bea betaalpas slagerij van donk pas273 nr x28glk 19 08 25 10 46 weesp	butcher	groceries
bea betaalpas slagerij van donk pas273 nr x28glk 26 08 25 11 34 weesp	butcher	groceries
bea betaalpas slagerij van donk pas273 nr x28glk 27 05 25 14 45 weesp	butcher	groceries
bea betaalpas tabaktief van kassel pas273 nr 130lpj 04 09 25 11 11 weesp	home	home_and_energy
bea betaalpas tmc pd apcoa achtergr pas273 nr ct861756 29 08 25 15 31 weesp	travel	travel
bea betaalpas villa arena p4 p5 pas273 nr 3t9ntj 22 12 25 14 39 amsterdam	home	home_and_energy
bea betaalpas warenhuis weesp hema pas273 nr 53k57b 09 05 25 16 05 weesp	hema	shopping
bea betaalpas warenhuis weesp hema pas273 nr mw6811 03 05 25 09 51 weesp	hema	shopping
bea betaalpas warenhuis weesp hema pas273 nr mw6811 08 07 25 11 03 weesp	hema	shopping
bea betaalpas warenhuis weesp hema pas273 nr mw6811 12 07 25 10 29 weesp	hema	shopping
bea betaalpas warenhuis weesp hema pas273 nr mw6811 24 06 25 11 38 weesp	hema	shopping
bea betaalpas warenhuis weesp hema pas273 nr mw6811 26 05 25 09 18 weesp	hema	shopping
bea betaalpas warenhuis weesp hema pas273 nr mw6811 30 07 25 11 34 weesp	hema	shopping
bea betaalpas warenhuis weesp hema pas273 nr mw6811 31 07 25 10 51 weesp	hema	shopping
bea betaalpas wibra weesp pas273 nr 0jfb01 03 07 25 10 30 weesp	home	home_and_energy
bea betaalpas wibra weesp pas273 nr 0jfb02 10 07 25 10 25 weesp	home	home_and_energy
bea google pay pas273 nr ec997717 29 08 25 11 57 amsterdam	restaurants	food_and_drink
beachclub t gorsje	holiday	travel
belastingdienst	subsidy	other
bijenkorf	home	home_and_energy
bistro frans	restaurants	food_and_drink
bistro&wijnbar zus	holiday	travel
bol com	bol	shopping
bolcom bv	home	home_and_energy
boz versmarkt	supermarket	groceries
brak bierboetiek	supermarket	groceries
bram van diermen vis	supermarket	groceries
c&b drogist weesp	kruidvat	shopping
c&b drogist weesp nr 6h271v	kruidvat	shopping
c&b drogist weesp nr s70clq	kruidvat	shopping
c&m natuurlijk goed pr nr bs085183	home	home_and_energy
c&m van winsen groente nr ct800178	supermarket	groceries
c&m van winsen groente nr ct800207	supermarket	groceries
ccv barbier rogier wee	hairdresser	health_and_beauty
ccv bij marc b v	holiday	travel
ccv bistro de molen	supermarket	groceries
ccv brood & banketbakk	bakery	groceries
ccv d d elderbeek	supermarket	groceries
ccv de bloemenmand nr ct167167	home	home_and_energy
ccv dss weesp	home	home_and_energy
ccv dss weesp nr ct667568	home	home_and_energy
ccv h a sier nr ct690587	restaurants	food_and_drink
ccv h van der wurff v	home	home_and_energy
ccv h van der wurff v nr ct104563	supermarket	groceries
ccv hatseflats kinderk	child	family
ccv jananna nr ct667848	home	home_and_energy
ccv lakoi	home	home_and_energy
ccv landal strand reso	holiday	travel
ccv nelis ijssalon bv	restaurants	food_and_drink
ccv p a a de bruijn	supermarket	groceries
ccv p a a de bruijn nr ct696866	supermarket	groceries
ccv p a a de bruijn nr ct836600	home	home_and_energy
ccv peter van wijnen d	home	home_and_energy
ccv petit clos	wine	food_and_drink
ccv petit clos nr ct861071	wine	food_and_drink
ccv rowi flowers nr ct951839	home	home_and_energy
ccv st korenmolen de	supermarket	groceries
ccv st korenmolen de nr ct393506	supermarket	groceries
ccv t hoekje	restaurants	food_and_drink
ccv t hoekje nr ct454129	restaurants	food_and_drink
ccv vof broekhof bloem nr ct805792	supermarket	groceries
cm wispe horeca	restaurants	food_and_drink
coffee friend nl via stichting mollie payments	home	home_and_energy
coolblue	home	home_and_energy
dada nederland b v via stichting mollie payments	child	family
de eendracht weesp	restaurants	food_and_drink
de eendracht weesp nr 7w73z6	restaurants	food_and_drink
de eendracht weesp nr wq417p	restaurants	food_and_drink
de vries lentsch via tikkie	restaurants	food_and_drink
decathlon netherlands bv	child	family
deltapark	holiday	travel
description	category	other
desmond s vishandel	supermarket	groceries
eetpalais nieuwstraat	restaurants	food_and_drink
enorm van driel weesp	home	home_and_energy
etos 7704	home	home_and_energy
etos b v	home	home_and_energy
etos weespersluis	home	home_and_energy
etsy com via worldpay b v	home	home_and_energy
euwe via tikkie	child	family
gall & gall 6748	wine	food_and_drink
gemeente amsterdam belastingen	tax	government
gemeente amsterdam nr 0p7qlr	baby	family
glazenmagazijn via stichting mollie payments	home	home_and_energy
grill bar de mazzel	supermarket	groceries
grote clubactie	lottery	entertainment
harmsen restaurant	restaurants	food_and_drink
het backhuys b v	restaurants	food_and_drink
het koninklijk concertgebouw n v via stichting mollie payments	restaurants	food_and_drink
hing b v weesp	holiday	travel
hmshost utrecht centra nr 03846572	travel	travel
hr jja rempt via ing betaalverzoek	restaurants	food_and_drink
ijs bij marc	holiday	travel
ikea amsterdam	home	home_and_energy
ikea bv	home	home_and_energy
infomedics b v	health	health_and_beauty
intratuin hilversum	home	home_and_energy
j j koek via rabo betaalverzoek	home	home_and_energy
j j wesselman	home	home_and_energy
johan bulten	holiday	travel
juffrouw jansen	restaurants	food_and_drink
juffrouw jansen nr r7sh6f	restaurants	food_and_drink
julia visser hair nr 52f882	hairdresser	health_and_beauty
juwelier de vries nr h5s811	home	home_and_energy
karwei	home	home_and_energy
karwei weesp	home	home_and_energy
kees smit tuinmeubelen b v via multisafepay	home	home_and_energy
kidskonnect portabase via stichting mollie payments	daycare	family
kidswereld b v	daycare	family
klm	travel	travel
kruidvat 2453	kruidvat	shopping
kruidvat 2453 nr 21gv03	kruidvat	shopping
kruidvat 2453 nr 7b9zx7	kruidvat	shopping
la base weesp	restaurants	food_and_drink
la base weesp nr 02	restaurants	food_and_drink
landal greenparks bv	holiday	travel
le crobag hannover hbf nr 69240121	travel	travel
litvinenko via tikkie	home	home_and_energy
loberon gmbh via unzer e com gmbh	home	home_and_energy
loco was strijk en stoomservice	laundry	shopping
ls houten aap outdoor	holiday	travel
ls incanto da tonino	restaurants	food_and_drink
ls ollie weesp nr 86lk8nh5	home	home_and_energy
m a de groot	deposit	other
marktplaats via online payments stichting	home	home_and_energy
medipoint b v	health	health_and_beauty
mevrou co	restaurants	food_and_drink
moco museum b v	restaurants	food_and_drink
mooie vogels	home	home_and_energy
mullers food	restaurants	food_and_drink
mw m k stoltenkamp via ing betaalverzoek	daycare	family
mw p brouwer celik via ing betaalverzoek	health	health_and_beauty
mw p van der lee hr phj oudshoorn via ing betaalverzoek	child	family
mypump	child	family
mywheels	travel	travel
nationale ned schadeverz mijnv	insurance	insurance
neeltje jans mosselen	holiday	travel
nlov8r5lql6le6rjm6	travel	travel
ns groep iz ns reizigers	travel	travel
ns internationaal b v	travel	travel
ns reizigers b v	travel	travel
nv pwn waterleidingbedrijf noord holland	utilities	home_and_energy
online payment stichting	home	home_and_energy
oom holding n v via worldline nv sa	insurance	insurance
ov chipkaart trans link systems	travel	travel
p bond en zonen	supermarket	groceries
p bond en zonen nr 092799eq	supermarket	groceries
p bond en zonen nr 092806eq	supermarket	groceries
pam bruxelles midi ur8	travel	travel
parkbee b v	travel	travel
pay nl het fietshuys w nr 1rx943	bicycle	transport
praxis	home	home_and_energy
pret a manger	travel	travel
primera weesp	home	home_and_energy
proef zeeland	holiday	travel
pronk kaas	cheese	groceries
pronk kaas nr 69k7fp	cheese	groceries
pundb 395	other	other
rataplan weesp	second_hand	shopping
rataplan weesp nr 458wj9	second_hand	shopping
rg janssen	supermarket	groceries
roedesonline via multisafepay	home	home_and_energy
rossmann 3615	home	home_and_energy
sanifair wc anlage	travel	travel
sanifair wc anlage nr 55800064	travel	travel
sepa overboeking iban nl32knab0404840663 bic knabnl2h naam loco was strijk en stoomservice omschrijving factuurnummer 2025 0674 kenmerk notprovided	laundry	shopping
sitedish via multisafepay	restaurants	food_and_drink
slagerij van donk	butcher	groceries
slagerij van donk nr 0s6c01	butcher	groceries
smulderstextiel nl via stichting mollie payments	home	home_and_energy
sociale verzekeringsbank	subsidy	other
spaweesp	restaurants	food_and_drink
spellenrijk b v	child	family
stach eurostar cs adam	travel	travel
stibmivb go53521	travel	travel
stichting pay nl	travel	travel
stichting tergooi	health	health_and_beauty
storytiles b v via stripe technology europe ltd	home	home_and_energy
sumup bakkerij cor m	bakery	groceries
sumup happy toilets	travel	travel
sumup stichting kore	other	other
sumup stylelien nr mflvcdrr	hairdresser	health_and_beauty
sumup taxiservicewee	travel	travel
sumup wilderei	travel	travel
terreinpark zandvoort	travel	travel
tfl travel charge	travel	travel
the vinest cheese nr 30049305	supermarket	groceries
tiny library via mollie	child	family
tong ah via multisafepay	restaurants	food_and_drink
travelodge gb0914	travel	travel
uber	home	home_and_energy
universnatur gmbh	child	family
vattenfall klantenservice n v	energy	home_and_energy
veldheer via tikkie	child	family
vente unique com	home	home_and_energy
verloskundigen weesp	health	health_and_beauty
vermaat oba	restaurants	food_and_drink
vomar voordeelmarkt	supermarket	groceries
warenhuis weesp hema	hema	shopping
warenhuis weesp hema nr 53k57b	hema	shopping
warenhuis weesp hema nr mw6811	hema	shopping
warmtethuis bv	home	home_and_energy
was strijk en stoomservice loco	laundry	shopping
waterloo food & wine	travel	travel
waternet agv	tax	government
wibra weesp	home	home_and_energy
wibra weesp nr 0jfb02	home	home_and_energy
wij geboortekaartjes via multisafepay	child	family
wing man	home	home_and_energy
woolworth gmbh fil 13	home	home_and_energy
yogatoday vof via stichting mollie payments	yoga	health_and_beauty
zalando payments gmbh	clothes	shopping
zarahome com	home	home_and_energy
zettle scherpplaats	home	home_and_energy
zettle scherpplaats nr 69847380	home	home_and_energy
ziggo services b v	internet	home_and_energy
ziggo services bv	internet	home_and_energy
zilveren kruis zorgverzekeringen nv	insurance	insurance
